"ID","REFERENCE","ORDER_DATE","SUPPLIER_ID","TOTAL_AMOUNT","DESCRIPTION","STATUS"
542,PO005,2022-04-07 00:00:00.000,106,21000,International Magazines,Closed
543,PO005-1,2022-04-07 00:00:00.000,93,,National geo nature,Received
544,PO003-4,2022-01-24 00:00:00.000,108,,"Screens 35""",Received
545,PO001-5,2022-01-03 00:00:00.000,94,,Brake disc,Received
546,PO001-6,2022-01-03 00:00:00.000,94,,Axle,Received
547,PO006,2022-02-16 00:00:00.000,96,250000,Stationery orders,Open
548,PO007,2022-06-03 00:00:00.000,104,26700,Taxi services fees,Closed
549,PO010,2022-07-03 00:00:00.000,115,,Electronic spare parts,Closed
550,PO010-1,2022-07-03 00:00:00.000,128,,Electronic Component Lead 2000 Kgs,Received
551,PO006-1,2022-02-16 00:00:00.000,96,,Packet 3,Received
552,PO011-2,2022-07-06 00:00:00.000,114,,Organizers x 200,Received
553,PO008-2,2022-06-05 00:00:00.000,97,,Seagate Barracuda 2TB SATA Hard Drive,Received
554,PO012-1,2022-08-16 00:00:00.000,107,,Wheels and balancing,Received
555,PO012-2,2022-08-16 00:00:00.000,105,,Servicing of cars,Received
556,PO012-2,2022-08-16 00:00:00.000,94,,Rear door + repair,Received
557,PO013,2022-08-20 00:00:00.000,116,,Purchase of Cars,Closed
558,PO006-1,2022-02-16 00:00:00.000,109,,Packet 6,Received
559,PO007-1,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
560,PO007-2,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
561,PO007-3,2022-06-03 00:00:00.000,126,,Employee journey taxi service,Cancelled
562,PO007-5,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
563,PO007-5,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
564,PO014,2022-09-15 00:00:00.000,124,,Purchases of Digital equipment,Open
565,PO014-2,2022-09-15 00:00:00.000,98,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
566,PO014-2,2022-09-15 00:00:00.000,121,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
567,PO014-4,2022-09-15 00:00:00.000,108,,"3TB SATA HARD DISK x 4",Received
568,PO014-4,2022-09-15 00:00:00.000,121,,"3TB SATA HARD DISK x 4",Received
569,PO014-5,2022-09-15 00:00:00.000,108,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
570,PO014-1,2022-09-15 00:00:00.000,108,,FAN UNIT x 20,Cancelled
571,PO014-1,2022-09-15 00:00:00.000,95,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
572,PO014-1,2022-09-15 00:00:00.000,108,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
573,PO014-2,2022-09-15 00:00:00.000,95,,VIEWSONIC PJD5155 PROJECTOR,Received
574,PO014-3,2022-09-15 00:00:00.000,95,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
575,PO014-4,2022-09-15 00:00:00.000,121,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
576,PO014-4,2022-09-15 00:00:00.000,95,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
577,PO014-5,2022-09-15 00:00:00.000,95,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
578,PO014-5,2022-09-15 00:00:00.000,121,,EPSON LQ310 DOT MATRIX PRINTER,Received
579,PO014-5,2022-09-15 00:00:00.000,124,,EPSON LQ310 DOT MATRIX PRINTER,Received
580,PO014-5,2022-09-15 00:00:00.000,95,,LENOVO B50-30 x 5,Received
581,PO014-5,2022-09-15 00:00:00.000,108,,LENOVO B50-30 x 5,Received
582,PO014-5,2022-09-15 00:00:00.000,124,,DELL N3543 CORE i5 x 3,Cancelled
583,PO001,2022-01-03 00:00:00.000,105,,Vehicle Spare parts,Closed
584,PO001,2022-01-03 00:00:00.000,107,,Vehicle Spare parts,Closed
585,PO001-1,2022-01-03 00:00:00.000,118,,Back lights,Received
586,PO001-2,2022-01-03 00:00:00.000,94,,Spark plug,Received
587,PO003,2022-01-24 00:00:00.000,111,57300,Computer screens,Closed
588,PO003-1,2022-01-24 00:00:00.000,98,,"Screens 22""",Received
589,PO003-3,2022-01-24 00:00:00.000,124,,"Screens 15""",Received
590,PO004,2022-02-07 00:00:00.000,127,6800,Purchase of Stationeries,Closed
591,PO004-1,2022-02-07 00:00:00.000,101,,Pen Parker blue,Received
592,PO004-2,2022-02-07 00:00:00.000,127,,Pencil HB boxes,Received
593,PO001-4,2022-01-03 00:00:00.000,120,,Air filter,Received
594,PO005-2,2022-04-07 00:00:00.000,93,,Science world,Received
595,PO004-3,2022-02-07 00:00:00.000,127,3000,Paper reams,Received
596,PO004-4,2022-02-07 00:00:00.000,114,600,Clips boxes,Cancelled
597,PO009,2022-06-18 00:00:00.000,112,36800,Security vests,Open
598,PO010-1,2022-07-03 00:00:00.000,128,,Air Conditioner Fan Capacitor x 1000,Received
599,PO010-2,2022-07-03 00:00:00.000,102,,Aluminium LED PCB Assemblies x 100,Received
600,PO010-2,2022-07-03 00:00:00.000,128,,Starter capacitor x 2000,Received
601,PO011-1,2022-07-06 00:00:00.000,114,,Staplers Heavy duty x 10,Received
602,PO011-1,2022-07-06 00:00:00.000,127,,Staplers Heavy duty x 10,Received
603,PO012,2022-08-16 00:00:00.000,94,265000,Vehicle Spare parts,Open
604,PO012-1,2022-08-16 00:00:00.000,105,,Aluminium evaporator x 15,Received
605,PO006-1,2022-02-16 00:00:00.000,109,,Packet 4,Received
606,PO008-2,2022-06-05 00:00:00.000,123,,Seagate Barracuda 2TB SATA Hard Drive,Received
607,PO012-2,2022-08-16 00:00:00.000,118,,Servicing of cars,Received
608,PO012-2,2022-08-16 00:00:00.000,120,,Servicing of cars,Received
609,PO012-2,2022-08-16 00:00:00.000,107,,Dashboard for cards,Received
610,PO012-2,2022-08-16 00:00:00.000,118,,Dashboard for cards,Received
611,PO012-4,2022-08-16 00:00:00.000,94,,Air suspension compressor x 3,Received
612,PO013-1,2022-08-20 00:00:00.000,103,,Audi Q5,Received
613,PO013-2,2022-08-20 00:00:00.000,116,,Audi Q7,Received
614,PO013-2,2022-08-20 00:00:00.000,129,,Audi Q7,Received
615,PO013-3,2022-08-20 00:00:00.000,103,,Chevrolet Equinox,Received
616,PO007-1,2022-06-03 00:00:00.000,130,,Employee journey taxi service,Received
617,PO007-3,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Cancelled
618,PO007-3,2022-06-03 00:00:00.000,130,,Employee journey taxi service,Cancelled
619,PO006-1,2022-02-16 00:00:00.000,96,,Packet 2,Received
620,PO014,2022-09-15 00:00:00.000,95,,Purchases of Digital equipment,Open
621,PO014-1,2022-09-15 00:00:00.000,108,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
622,PO014-2,2022-09-15 00:00:00.000,124,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
623,PO014-3,2022-09-15 00:00:00.000,111,,NOTEBOOK SATA HDD - 500 GB x 5,Received
624,PO014-3,2022-09-15 00:00:00.000,124,,NOTEBOOK SATA HDD - 500 GB x 5,Received
625,PO014-5,2022-09-15 00:00:00.000,98,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
626,PO014-5,2022-09-15 00:00:00.000,121,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
627,PO014-1,2022-09-15 00:00:00.000,98,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
628,PO014-1,2022-09-15 00:00:00.000,121,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
629,PO014-2,2022-09-15 00:00:00.000,98,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
630,PO014-3,2022-09-15 00:00:00.000,98,,GENIUS MEDIA POINTER 900BT x 3,Received
631,PO014-3,2022-09-15 00:00:00.000,121,,GENIUS MEDIA POINTER 900BT x 3,Received
632,PO014-3,2022-09-15 00:00:00.000,108,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
633,PO014-3,2022-09-15 00:00:00.000,121,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
634,PO014-3,2022-09-15 00:00:00.000,121,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
635,PO014-4,2022-09-15 00:00:00.000,98,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
636,PO003-1,2022-01-24 00:00:00.000,108,,"Screens 22""",Received
637,PO003-2,2022-01-24 00:00:00.000,95,,"Screens 35""",Received
638,PO001-3,2022-01-03 00:00:00.000,118,,Fuel filter,Received
639,PO004,2022-02-07 00:00:00.000,101,6800,Purchase of Stationeries,Closed
640,PO004-1,2022-02-07 00:00:00.000,114,,Pen Parker blue,Received
641,PO001-4,2022-01-03 00:00:00.000,105,,Air filter,Received
642,PO005-1,2022-04-07 00:00:00.000,106,,National geo nature,Received
643,PO005-1,2022-04-07 00:00:00.000,119,,National geo nature,Received
644,PO003-4,2022-01-24 00:00:00.000,111,,"Screens 35""",Received
645,PO004-3,2022-02-07 00:00:00.000,101,3000,Paper reams,Received
646,PO005-4,2022-04-07 00:00:00.000,106,,Discovery mag,Received
647,PO005-4,2022-04-07 00:00:00.000,119,,Discovery mag,Received
648,PO001-5,2022-01-03 00:00:00.000,107,,Brake disc,Received
649,PO001-5,2022-01-03 00:00:00.000,118,,Brake disc,Received
650,PO001-6,2022-01-03 00:00:00.000,105,,Axle,Received
651,PO006-1,2022-02-16 00:00:00.000,96,,Packet 1,Received
652,PO007,2022-06-03 00:00:00.000,100,26700,Taxi services fees,Closed
653,PO009-1,2022-06-18 00:00:00.000,112,,Security vests for firewardens,Received
654,PO011-1,2022-07-06 00:00:00.000,101,,Staplers Heavy duty x 10,Received
655,PO008-1,2022-06-05 00:00:00.000,97,,"10 HDDs 3TB",Received
656,PO011-2,2022-07-06 00:00:00.000,101,,Organizers x 200,Received
657,PO012-1,2022-08-16 00:00:00.000,118,,Aluminium evaporator x 15,Received
658,PO012-1,2022-08-16 00:00:00.000,120,,Aluminium evaporator x 15,Received
659,PO012-1,2022-08-16 00:00:00.000,118,,Wheels and balancing,Received
660,PO012-2,2022-08-16 00:00:00.000,107,,Rear door + repair,Received
661,PO012-2,2022-08-16 00:00:00.000,118,,Rear door + repair,Received
662,PO012-4,2022-08-16 00:00:00.000,92,,Air suspension compressor x 3,Received
663,PO012-4,2022-08-16 00:00:00.000,107,,Air suspension compressor x 3,Received
664,PO012-5,2022-08-16 00:00:00.000,94,,Aluminium alloy set x 5,Received
665,PO012-5,2022-08-16 00:00:00.000,105,,Master brake x 12,Received
666,PO006-1,2022-02-16 00:00:00.000,96,,Packet 5,Received
667,PO006-1,2022-02-16 00:00:00.000,122,,Packet 5,Received
668,PO013-1,2022-08-20 00:00:00.000,116,,Audi Q5,Received
669,PO006-1,2022-02-16 00:00:00.000,96,,Packet 6,Received
670,PO007-5,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
671,PO014,2022-09-15 00:00:00.000,108,,Purchases of Digital equipment,Open
672,PO014,2022-09-15 00:00:00.000,111,,Purchases of Digital equipment,Open
673,PO014-1,2022-09-15 00:00:00.000,121,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
674,PO014-1,2022-09-15 00:00:00.000,124,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
675,PO014-3,2022-09-15 00:00:00.000,108,,NOTEBOOK SATA HDD - 500 GB x 5,Received
676,PO014-3,2022-09-15 00:00:00.000,121,,NOTEBOOK SATA HDD - 500 GB x 5,Received
677,PO014-4,2022-09-15 00:00:00.000,124,,"3TB SATA HARD DISK x 4",Received
678,PO014-5,2022-09-15 00:00:00.000,124,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
679,PO014-1,2022-09-15 00:00:00.000,121,,FAN UNIT x 20,Cancelled
680,PO014-1,2022-09-15 00:00:00.000,124,,FAN UNIT x 20,Cancelled
681,PO014-1,2022-09-15 00:00:00.000,111,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
682,PO014-2,2022-09-15 00:00:00.000,108,,VIEWSONIC PJD5155 PROJECTOR,Received
683,PO014-2,2022-09-15 00:00:00.000,124,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
684,PO014-3,2022-09-15 00:00:00.000,95,,GENIUS MEDIA POINTER 900BT x 3,Received
685,PO014-3,2022-09-15 00:00:00.000,124,,GENIUS MEDIA POINTER 900BT x 3,Received
686,PO014-3,2022-09-15 00:00:00.000,98,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
687,PO014-5,2022-09-15 00:00:00.000,121,,LENOVO B50-30 x 5,Received
688,PO014-5,2022-09-15 00:00:00.000,108,,DELL N3543 CORE i5 x 3,Cancelled
689,PO001-1,2022-01-03 00:00:00.000,92,,Back lights,Received
690,PO002-1,2022-01-10 00:00:00.000,103,,Purchase of Car Model X,Received
691,PO003,2022-01-24 00:00:00.000,95,57300,Computer screens,Closed
692,PO003-1,2022-01-24 00:00:00.000,95,,"Screens 22""",Received
693,PO001-3,2022-01-03 00:00:00.000,94,,Fuel filter,Received
694,PO004-2,2022-02-07 00:00:00.000,101,,Pencil HB boxes,Received
695,PO005-2,2022-04-07 00:00:00.000,119,,Science world,Received
696,PO003-4,2022-01-24 00:00:00.000,121,,"Screens 35""",Received
697,PO004-4,2022-02-07 00:00:00.000,101,600,Clips boxes,Cancelled
698,PO005-3,2022-04-07 00:00:00.000,119,,Science world,Received
699,PO005-4,2022-04-07 00:00:00.000,93,,Discovery mag,Received
700,PO006,2022-02-16 00:00:00.000,109,250000,Stationery orders,Open
701,PO008,2022-06-05 00:00:00.000,97,85200,Orders of computer spare parts,Open
702,PO009-1,2022-06-18 00:00:00.000,125,,Security vests for firewardens,Received
703,PO010,2022-07-03 00:00:00.000,102,,Electronic spare parts,Closed
704,PO010,2022-07-03 00:00:00.000,128,,Electronic spare parts,Closed
705,PO010-2,2022-07-03 00:00:00.000,128,,Aluminium LED PCB Assemblies x 100,Received
706,PO011,2022-07-06 00:00:00.000,101,43200,Purchase of Stationeries,Closed
707,PO012-2,2022-08-16 00:00:00.000,94,,Dashboard for cards,Received
708,PO012-4,2022-08-16 00:00:00.000,118,,Air suspension compressor x 3,Received
709,PO012-5,2022-08-16 00:00:00.000,92,,Master brake x 12,Received
710,PO007-3,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Cancelled
138,PO006-1,2022-02-16 00:00:00.000,96,,Packet 3,Received
139,PO008-2,2022-06-05 00:00:00.000,97,,Seagate Barracuda 2TB SATA Hard Drive,Received
140,PO012-2,2022-08-16 00:00:00.000,94,,Rear door + repair,Received
141,PO007-2,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
142,PO007-5,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
143,PO014-2,2022-09-15 00:00:00.000,98,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
144,PO014-1,2022-09-15 00:00:00.000,95,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
145,PO014-2,2022-09-15 00:00:00.000,95,,VIEWSONIC PJD5155 PROJECTOR,Received
146,PO014-3,2022-09-15 00:00:00.000,95,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
147,PO014-4,2022-09-15 00:00:00.000,95,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
148,PO014-5,2022-09-15 00:00:00.000,95,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
149,PO014-5,2022-09-15 00:00:00.000,95,,LENOVO B50-30 x 5,Received
150,PO001-2,2022-01-03 00:00:00.000,94,,Spark plug,Received
151,PO003-1,2022-01-24 00:00:00.000,98,,"Screens 22""",Received
152,PO004-1,2022-02-07 00:00:00.000,101,,Pen Parker blue,Received
153,PO005-2,2022-04-07 00:00:00.000,93,,Science world,Received
154,PO010-2,2022-07-03 00:00:00.000,102,,Aluminium LED PCB Assemblies x 100,Received
155,PO012,2022-08-16 00:00:00.000,94,265000,Vehicle Spare parts,Open
156,PO012-4,2022-08-16 00:00:00.000,94,,Air suspension compressor x 3,Received
157,PO013-1,2022-08-20 00:00:00.000,103,,Audi Q5,Received
158,PO013-3,2022-08-20 00:00:00.000,103,,Chevrolet Equinox,Received
159,PO007-3,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Cancelled
160,PO006-1,2022-02-16 00:00:00.000,96,,Packet 2,Received
161,PO014,2022-09-15 00:00:00.000,95,,Purchases of Digital equipment,Open
162,PO014-5,2022-09-15 00:00:00.000,98,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
163,PO014-1,2022-09-15 00:00:00.000,98,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
164,PO014-2,2022-09-15 00:00:00.000,98,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
165,PO014-3,2022-09-15 00:00:00.000,98,,GENIUS MEDIA POINTER 900BT x 3,Received
166,PO014-4,2022-09-15 00:00:00.000,98,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
167,PO003-2,2022-01-24 00:00:00.000,95,,"Screens 35""",Received
168,PO004,2022-02-07 00:00:00.000,101,6800,Purchase of Stationeries,Closed
169,PO004-3,2022-02-07 00:00:00.000,101,3000,Paper reams,Received
170,PO006-1,2022-02-16 00:00:00.000,96,,Packet 1,Received
171,PO007,2022-06-03 00:00:00.000,100,26700,Taxi services fees,Closed
172,PO011-1,2022-07-06 00:00:00.000,101,,Staplers Heavy duty x 10,Received
173,PO008-1,2022-06-05 00:00:00.000,97,,"10 HDDs 3TB",Received
174,PO011-2,2022-07-06 00:00:00.000,101,,Organizers x 200,Received
175,PO012-4,2022-08-16 00:00:00.000,92,,Air suspension compressor x 3,Received
176,PO012-5,2022-08-16 00:00:00.000,94,,Aluminium alloy set x 5,Received
177,PO006-1,2022-02-16 00:00:00.000,96,,Packet 5,Received
178,PO006-1,2022-02-16 00:00:00.000,96,,Packet 6,Received
179,PO007-5,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
180,PO014-3,2022-09-15 00:00:00.000,95,,GENIUS MEDIA POINTER 900BT x 3,Received
181,PO014-3,2022-09-15 00:00:00.000,98,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
182,PO001-1,2022-01-03 00:00:00.000,92,,Back lights,Received
183,PO002-1,2022-01-10 00:00:00.000,103,,Purchase of Car Model X,Received
184,PO003,2022-01-24 00:00:00.000,95,57300,Computer screens,Closed
185,PO003-1,2022-01-24 00:00:00.000,95,,"Screens 22""",Received
186,PO001-3,2022-01-03 00:00:00.000,94,,Fuel filter,Received
187,PO004-2,2022-02-07 00:00:00.000,101,,Pencil HB boxes,Received
188,PO004-4,2022-02-07 00:00:00.000,101,600,Clips boxes,Cancelled
189,PO005-4,2022-04-07 00:00:00.000,93,,Discovery mag,Received
190,PO008,2022-06-05 00:00:00.000,97,85200,Orders of computer spare parts,Open
191,PO010,2022-07-03 00:00:00.000,102,,Electronic spare parts,Closed
192,PO011,2022-07-06 00:00:00.000,101,43200,Purchase of Stationeries,Closed
193,PO012-2,2022-08-16 00:00:00.000,94,,Dashboard for cards,Received
194,PO012-5,2022-08-16 00:00:00.000,92,,Master brake x 12,Received
195,PO014,2022-09-15 00:00:00.000,98,,Purchases of Digital equipment,Open
196,PO014-3,2022-09-15 00:00:00.000,98,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
197,PO014-3,2022-09-15 00:00:00.000,95,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
198,PO014-3,2022-09-15 00:00:00.000,98,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
199,PO001,2022-01-03 00:00:00.000,92,,Vehicle Spare parts,Closed
200,PO001-4,2022-01-03 00:00:00.000,92,,Air filter,Received
201,PO001-5,2022-01-03 00:00:00.000,92,,Brake disc,Received
202,PO010-1,2022-07-03 00:00:00.000,102,,Air Conditioner Fan Capacitor x 1000,Received
203,PO012,2022-08-16 00:00:00.000,92,265000,Vehicle Spare parts,Open
204,PO012-1,2022-08-16 00:00:00.000,92,,Aluminium evaporator x 15,Received
205,PO012-1,2022-08-16 00:00:00.000,92,,Wheels and balancing,Received
206,PO012-2,2022-08-16 00:00:00.000,94,,Servicing of cars,Received
207,PO014-1,2022-09-15 00:00:00.000,95,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
208,PO014-1,2022-09-15 00:00:00.000,98,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
209,PO014-5,2022-09-15 00:00:00.000,95,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
210,PO014-1,2022-09-15 00:00:00.000,98,,FAN UNIT x 20,Cancelled
211,PO014-3,2022-09-15 00:00:00.000,95,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
212,PO014-5,2022-09-15 00:00:00.000,98,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
213,PO001-1,2022-01-03 00:00:00.000,94,,Back lights,Received
214,PO005,2022-04-07 00:00:00.000,93,21000,International Magazines,Closed
215,PO003-4,2022-01-24 00:00:00.000,95,,"Screens 35""",Received
216,PO005-3,2022-04-07 00:00:00.000,93,,Science world,Received
217,PO001-6,2022-01-03 00:00:00.000,92,,Axle,Received
218,PO009,2022-06-18 00:00:00.000,99,36800,Security vests,Open
219,PO010-2,2022-07-03 00:00:00.000,102,,Starter capacitor x 2000,Received
220,PO010-3,2022-07-03 00:00:00.000,102,,Block connector universal x 200,Received
221,PO012-1,2022-08-16 00:00:00.000,94,,Aluminium evaporator x 15,Received
222,PO012-2,2022-08-16 00:00:00.000,92,,Servicing of cars,Received
223,PO012-2,2022-08-16 00:00:00.000,92,,Rear door + repair,Received
