"ID","REFERENCE","INVOICE_DATE","ORDER_ID","AMOUNT","DESCRIPTION","STATUS","HOLD_REASON"
453,INV_PO010.1,2022-08-15 00:00:00.000,476,,Electronic spare parts - Inv 1,Paid,
454,INV_PO010.1,2022-09-02 00:00:00.000,434,18200,Electronic spare parts - Inv 2,Paid,
455,,,437,,,,
456,INV_PO008.2,2022-08-28 00:00:00.000,238,23000,Computer oders invoice - 2,Paid,
457,INV_PO008.2,2022-08-28 00:00:00.000,404,23000,Computer oders invoice - 2,Paid,
458,INV_PO006.3,2022-05-21 00:00:00.000,239,,Third delivery,Paid,
459,INV_PO006.3,2022-05-21 00:00:00.000,283,,Third delivery,Paid,
460,INV_PO011.1,2022-09-18 00:00:00.000,346,40000,Stationeries,Paid,
461,,,155,,,,
462,INV_PO012.1,2022-08-07 00:00:00.000,514,,Vehicle spare parts - Part Pay 1,Paid,
463,INV_PO012.1,2022-08-07 00:00:00.000,205,,Vehicle spare parts - Part Pay 1,Paid,
464,INV_PO012.1,2022-08-07 00:00:00.000,221,,Vehicle spare parts - Part Pay 1,Paid,
465,INV_PO012.1,2022-08-07 00:00:00.000,255,,Vehicle spare parts - Part Pay 1,Paid,
466,INV_PO006.4,2022-06-17 00:00:00.000,239,50200,Fourth delivery,Paid,
467,INV_PO012.2,2022-09-04 00:00:00.000,483,40000,Vehicle spare parts - Part Pay 2,Paid,
468,INV_PO012.2,2022-09-04 00:00:00.000,439,40000,Vehicle spare parts - Part Pay 2,Paid,
469,INV_PO012.1,2022-08-07 00:00:00.000,256,37800,Vehicle spare parts - Part Pay 1,Paid,
470,INV_PO012.2,2022-09-04 00:00:00.000,140,,Vehicle spare parts - Part Pay 2,Paid,
471,INV_PO012.2,2022-09-04 00:00:00.000,281,,Vehicle spare parts - Part Pay 2,Paid,
472,INV_PO012.3,2022-09-29 00:00:00.000,206,28000,Vehicle spare parts - Part Pay 3,Paid,
473,INV_PO012.3,2022-09-29 00:00:00.000,256,28000,Vehicle spare parts - Part Pay 3,Paid,
474,INV_PO012.3,2022-09-29 00:00:00.000,281,28000,Vehicle spare parts - Part Pay 3,Paid,
475,INV_PO012.3,2022-09-29 00:00:00.000,314,28000,Vehicle spare parts - Part Pay 3,Paid,
476,INV_PO012.3,2022-09-29 00:00:00.000,347,28000,Vehicle spare parts - Part Pay 3,Paid,
477,INV_PO012.2,2022-09-04 00:00:00.000,175,,Vehicle spare parts - Part Pay 2,Paid,
478,INV_PO012.3,2022-09-29 00:00:00.000,518,43750,Vehicle spare parts - Part Pay 3,Paid,
479,INV_PO012.3,2022-09-29 00:00:00.000,241,43750,Vehicle spare parts - Part Pay 3,Paid,
480,INV_PO012.3,2022-09-29 00:00:00.000,350,43750,Vehicle spare parts - Part Pay 3,Paid,
481,INV_PO012.3,2022-09-29 00:00:00.000,351,43750,Vehicle spare parts - Part Pay 3,Paid,
482,INV_PO006.5,2022-07-27 00:00:00.000,313,70800,Fifth delivery,Paid,
483,INV_PO006.5,2022-07-27 00:00:00.000,444,70800,Fifth delivery,Paid,
484,INV_PO007.1,2022-07-30 00:00:00.000,285,4200,Trip for Mike,Paid,
485,,,228,,,,
486,INV_PO007.1,2022-07-30 00:00:00.000,142,3700,Trip for Mikaen,Paid,
487,INV_PO006.2,2022-04-18 00:00:00.000,482,4300,Second delivery,Paid,
488,INV_PO006.2,2022-04-18 00:00:00.000,138,4300,Second delivery,Paid,
489,INV_PO014.1,2022-10-03 00:00:00.000,208,,Invoice payment SN#001,Paid,
490,INV_PO014.2,2022-10-15 00:00:00.000,262,13250,Invoice payment SN#002,Paid,
491,INV_PO014.2,2022-10-15 00:00:00.000,525,,Invoice payment SN#002,Paid,
492,INV_PO014.2,2022-10-15 00:00:00.000,196,,Invoice payment SN#002,Paid,
493,INV_PO014.2,2022-10-15 00:00:00.000,198,,Invoice payment SN#002,Paid,
494,INV_PO014.2,2022-10-15 00:00:00.000,328,,Invoice payment SN#002,Paid,
495,INV_PO014.2,2022-10-15 00:00:00.000,388,,Invoice payment SN#002,Paid,
496,INV_PO014.4,2022-11-05 00:00:00.000,390,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
497,INV_PO014.4,2022-11-05 00:00:00.000,412,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
498,,,413,,,,
499,INV_PO014.3,2022-10-27 00:00:00.000,231,,Invoice payment SN#003,Paid,
500,INV_PO014.3,2022-10-27 00:00:00.000,459,,Invoice payment SN#003,Paid,
501,INV_PO014.1,2022-10-03 00:00:00.000,263,17300,Invoice payment SN#001,Paid,
502,INV_PO014.1,2022-10-03 00:00:00.000,410,17300,Invoice payment SN#001,Paid,
503,INV_PO014.1,2022-10-03 00:00:00.000,493,13500,Invoice payment SN#001,Paid,
504,INV_PO014.1,2022-10-03 00:00:00.000,360,13500,Invoice payment SN#001,Paid,
505,INV_PO014.1,2022-10-03 00:00:00.000,196,4275,Invoice payment SN#001,Paid,
506,INV_PO014.1,2022-10-03 00:00:00.000,358,4275,Invoice payment SN#001,Paid,
507,INV_PO014.1,2022-10-03 00:00:00.000,387,4275,Invoice payment SN#001,Paid,
508,INV_PO014.3,2022-10-27 00:00:00.000,198,900,Invoice payment SN#003,Pending,Pointers not compatible with system
509,INV_PO014.3,2022-10-27 00:00:00.000,211,900,Invoice payment SN#003,Pending,Pointers not compatible with system
510,INV_PO014.3,2022-10-27 00:00:00.000,417,900,Invoice payment SN#003,Pending,Pointers not compatible with system
511,INV_PO014.4,2022-11-05 00:00:00.000,526,,Invoice payment SN#004,Paid,
512,INV_PO014.4,2022-11-05 00:00:00.000,146,,Invoice payment SN#004,Paid,
513,INV_PO014.4,2022-11-05 00:00:00.000,197,,Invoice payment SN#004,Paid,
514,INV_PO014.4,2022-11-05 00:00:00.000,328,,Invoice payment SN#004,Paid,
515,INV_PO014.4,2022-11-05 00:00:00.000,358,,Invoice payment SN#004,Paid,
516,INV_PO014.4,2022-11-05 00:00:00.000,146,11900,Invoice payment SN#004,Paid,
517,INV_PO014.4,2022-11-05 00:00:00.000,260,11900,Invoice payment SN#004,Paid,
518,INV_PO014.4,2022-11-05 00:00:00.000,261,11900,Invoice payment SN#004,Paid,
519,INV_PO014.4,2022-11-05 00:00:00.000,295,11900,Invoice payment SN#004,Paid,
520,INV_PO014.4,2022-11-05 00:00:00.000,384,11900,Invoice payment SN#004,Paid,
521,INV_PO014.4,2022-11-05 00:00:00.000,416,11900,Invoice payment SN#004,Paid,
522,INV_PO014.1,2022-10-03 00:00:00.000,166,7920,Invoice payment SN#001,Paid,
523,INV_PO014.1,2022-10-03 00:00:00.000,245,7920,Invoice payment SN#001,Paid,
524,INV_PO014.1,2022-10-03 00:00:00.000,411,7920,Invoice payment SN#001,Paid,
525,INV_PO014.1,2022-10-03 00:00:00.000,463,7920,Invoice payment SN#001,Paid,
526,INV_PO014.2,2022-10-15 00:00:00.000,530,3550,Invoice payment SN#002,Pending,
527,INV_PO014.2,2022-10-15 00:00:00.000,166,3550,Invoice payment SN#002,Pending,
528,INV_PO014.2,2022-10-15 00:00:00.000,233,3550,Invoice payment SN#002,Pending,
529,INV_PO014.2,2022-10-15 00:00:00.000,389,3550,Invoice payment SN#002,Pending,
530,INV_PO014.2,2022-10-15 00:00:00.000,418,3550,Invoice payment SN#002,Pending,
531,INV_PO014.3,2022-10-27 00:00:00.000,532,5300,Invoice payment SN#003,Paid,
532,INV_PO014.3,2022-10-27 00:00:00.000,297,5300,Invoice payment SN#003,Paid,
533,INV_PO014.3,2022-10-27 00:00:00.000,390,5300,Invoice payment SN#003,Paid,
534,INV_PO014.3,2022-10-27 00:00:00.000,148,12125,Invoice payment SN#003,Paid,
535,INV_PO014.3,2022-10-27 00:00:00.000,212,12125,Invoice payment SN#003,Paid,
536,INV_PO014.3,2022-10-27 00:00:00.000,247,12125,Invoice payment SN#003,Paid,
537,INV_PO014.3,2022-10-27 00:00:00.000,290,12125,Invoice payment SN#003,Paid,
538,INV_PO014.3,2022-10-27 00:00:00.000,421,12125,Invoice payment SN#003,Paid,
539,INV_PO014.1,2022-10-03 00:00:00.000,535,72500,Invoice payment SN#001,Pending,
540,INV_PO014.1,2022-10-03 00:00:00.000,148,72500,Invoice payment SN#001,Pending,
541,INV_PO014.1,2022-10-03 00:00:00.000,297,72500,Invoice payment SN#001,Pending,
542,INV_PO014.1,2022-10-03 00:00:00.000,324,72500,Invoice payment SN#001,Pending,
543,INV_PO014.1,2022-10-03 00:00:00.000,465,72500,Invoice payment SN#001,Pending,
544,,,500,,,,
545,,,234,,,,
546,,,290,,,,
547,INV_PO002.1,2022-03-01 00:00:00.000,537,100000,Part payment for purchase of car,Paid,
548,INV_PO002.1,2022-03-01 00:00:00.000,365,100000,Part payment for purchase of car,Paid,
549,INV_PO003.1,2022-03-22 00:00:00.000,185,,Purchase of screens.,Paid,
550,INV_PO003.1,2022-03-22 00:00:00.000,236,5000,Purchase of screens.,Paid,
551,INV_PO001,2022-02-28 00:00:00.000,186,,Part payment for vehicle spare parts,Paid,
552,INV_PO001,2022-02-28 00:00:00.000,425,,Part payment for vehicle spare parts,Paid,
553,INV_PO005.1,2022-05-18 00:00:00.000,153,5000,,Paid,
554,INV_PO005.1,2022-05-18 00:00:00.000,306,5000,,Paid,
555,INV_PO003.2,2022-05-15 00:00:00.000,544,,Final payment for purchase of screens.,Paid,
556,INV_PO002.3,2022-08-05 00:00:00.000,537,249000,Final payment for purchase of car,Pending,
557,INV_PO004.1,2022-03-20 00:00:00.000,429,3000,Paper reams.,Paid,
558,INV_PO001.1,2022-04-04 00:00:00.000,545,3000,Final payment for vehicle spare parts,Paid,
559,INV_PO001.1,2022-04-04 00:00:00.000,397,3000,Final payment for vehicle spare parts,Paid,
560,INV_PO001.1,2022-04-04 00:00:00.000,217,1100,Final payment for vehicle spare parts,Paid,
561,INV_PO006.1,2022-03-22 00:00:00.000,283,24300,First delivery,Paid,
562,INV_PO006.1,2022-03-22 00:00:00.000,313,24300,First delivery,Paid,
563,INV_PO006.1,2022-03-22 00:00:00.000,379,24300,First delivery,Paid,
564,,,509,,,,
565,INV_PO009.1,2022-08-24 00:00:00.000,511,,Security vests,Paid,
566,INV_PO010.1,2022-08-15 00:00:00.000,202,,Electronic spare parts - Inv 1,Paid,
567,INV_PO010.1,2022-08-15 00:00:00.000,399,,Electronic spare parts - Inv 1,Paid,
568,INV_PO010.1,2022-09-02 00:00:00.000,309,18200,Electronic spare parts - Inv 2,Paid,
569,INV_PO006.3,2022-05-21 00:00:00.000,160,,Third delivery,Paid,
570,INV_PO006.3,2022-05-21 00:00:00.000,178,,Third delivery,Paid,
571,INV_PO006.3,2022-05-21 00:00:00.000,352,,Third delivery,Paid,
572,INV_PO006.3,2022-05-21 00:00:00.000,474,,Third delivery,Paid,
573,,,203,,,,
574,INV_PO012.1,2022-08-07 00:00:00.000,515,,Vehicle spare parts - Part Pay 1,Paid,
575,INV_PO012.1,2022-08-07 00:00:00.000,204,,Vehicle spare parts - Part Pay 1,Paid,
576,INV_PO012.1,2022-08-07 00:00:00.000,312,,Vehicle spare parts - Part Pay 1,Paid,
577,INV_PO006.4,2022-06-17 00:00:00.000,138,50200,Fourth delivery,Paid,
578,INV_PO008.2,2022-08-28 00:00:00.000,278,,Vehicle spare parts - Part Pay 2,Paid,
579,INV_PO012.1,2022-08-07 00:00:00.000,280,37800,Vehicle spare parts - Part Pay 1,Paid,
580,INV_PO012.1,2022-08-07 00:00:00.000,441,37800,Vehicle spare parts - Part Pay 1,Paid,
581,INV_PO012.2,2022-09-04 00:00:00.000,256,,Vehicle spare parts - Part Pay 2,Paid,
582,INV_PO012.3,2022-09-29 00:00:00.000,442,28000,Vehicle spare parts - Part Pay 3,Paid,
583,INV_PO012.1,2022-08-07 00:00:00.000,486,7250,Vehicle spare parts - Part Pay 1,Paid,
584,INV_PO012.2,2022-09-04 00:00:00.000,315,,Vehicle spare parts - Part Pay 2,Paid,
1,INV_PO010.1,2022-08-15 00:00:00.000,237,,Electronic spare parts - Inv 1,Paid,
2,INV_PO010.1,2022-09-02 00:00:00.000,219,28000,Electronic spare parts - Inv 2,Paid,
3,INV_PO006.3,2022-05-21 00:00:00.000,177,,Third delivery,Paid,
4,INV_PO006.4,2022-06-17 00:00:00.000,170,50200,Fourth delivery,Paid,
5,INV_PO012.2,2022-09-04 00:00:00.000,204,40000,Vehicle spare parts - Part Pay 2,Paid,
6,INV_PO012.1,2022-08-07 00:00:00.000,222,37800,Vehicle spare parts - Part Pay 1,Paid,
7,INV_PO012.1,2022-08-07 00:00:00.000,257,7250,Vehicle spare parts - Part Pay 1,Paid,
8,INV_PO012.3,2022-09-29 00:00:00.000,258,43750,Vehicle spare parts - Part Pay 3,Paid,
9,INV_PO006.5,2022-07-27 00:00:00.000,160,70800,Fifth delivery,Paid,
10,INV_PO006.5,2022-07-27 00:00:00.000,178,70800,Fifth delivery,Paid,
11,,,242,,,,
12,INV_PO013.1,2022-09-28 00:00:00.000,158,,Car purchase,Paid,
13,INV_PO006.6,2022-08-16 00:00:00.000,138,,Sixth delivery,Paid,
14,INV_PO006.2,2022-04-18 00:00:00.000,160,4300,Second delivery,Paid,
15,INV_PO014.2,2022-10-15 00:00:00.000,263,13250,Invoice payment SN#002,Paid,
16,INV_PO014.2,2022-10-15 00:00:00.000,146,,Invoice payment SN#002,Paid,
17,INV_PO014.2,2022-10-15 00:00:00.000,165,,Invoice payment SN#002,Paid,
18,INV_PO014.2,2022-10-15 00:00:00.000,260,,Invoice payment SN#002,Paid,
19,INV_PO014.4,2022-11-05 00:00:00.000,149,13850,Invoice payment SN#004,Pending,"1 faulty HD to return before payment"
20,,,208,,,,
21,INV_PO014.3,2022-10-27 00:00:00.000,208,,Invoice payment SN#003,Paid,
22,INV_PO014.1,2022-10-03 00:00:00.000,164,17300,Invoice payment SN#001,Paid,
23,INV_PO014.1,2022-10-03 00:00:00.000,143,13500,Invoice payment SN#001,Paid,
24,INV_PO014.1,2022-10-03 00:00:00.000,263,13500,Invoice payment SN#001,Paid,
25,INV_PO014.1,2022-10-03 00:00:00.000,181,4275,Invoice payment SN#001,Paid,
26,INV_PO014.3,2022-10-27 00:00:00.000,146,900,Invoice payment SN#003,Pending,Pointers not compatible with system
27,INV_PO014.3,2022-10-27 00:00:00.000,180,900,Invoice payment SN#003,Pending,Pointers not compatible with system
28,INV_PO014.3,2022-10-27 00:00:00.000,196,900,Invoice payment SN#003,Pending,Pointers not compatible with system
29,INV_PO014.4,2022-11-05 00:00:00.000,165,,Invoice payment SN#004,Paid,
30,INV_PO014.4,2022-11-05 00:00:00.000,180,,Invoice payment SN#004,Paid,
31,INV_PO014.4,2022-11-05 00:00:00.000,196,,Invoice payment SN#004,Paid,
32,INV_PO014.4,2022-11-05 00:00:00.000,198,,Invoice payment SN#004,Paid,
33,INV_PO014.4,2022-11-05 00:00:00.000,260,,Invoice payment SN#004,Paid,
34,INV_PO014.4,2022-11-05 00:00:00.000,211,11900,Invoice payment SN#004,Paid,
35,INV_PO014.1,2022-10-03 00:00:00.000,246,7920,Invoice payment SN#001,Paid,
36,INV_PO014.2,2022-10-15 00:00:00.000,147,3550,Invoice payment SN#002,Pending,
37,INV_PO014.2,2022-10-15 00:00:00.000,246,3550,Invoice payment SN#002,Pending,
38,INV_PO014.1,2022-10-03 00:00:00.000,234,72500,Invoice payment SN#001,Pending,
39,INV_PO001,2022-02-28 00:00:00.000,251,,Part payment for vehicle spare parts,Paid,
40,INV_PO001,2022-02-28 00:00:00.000,252,800,Part payment for vehicle spare parts,Paid,
41,INV_PO006.1,2022-03-22 00:00:00.000,177,24300,First delivery,Paid,
42,,,274,,,,
43,INV_PO008.1,2022-08-02 00:00:00.000,139,25000,Computer oders invoice - 1,Paid,
44,INV_PO009.1,2022-08-24 00:00:00.000,254,,Security vests,Paid,
45,INV_PO008.2,2022-08-28 00:00:00.000,238,23000,Computer oders invoice - 2,Paid,
46,INV_PO006.3,2022-05-21 00:00:00.000,239,,Third delivery,Paid,
47,,,155,,,,
48,INV_PO012.1,2022-08-07 00:00:00.000,205,,Vehicle spare parts - Part Pay 1,Paid,
49,INV_PO012.1,2022-08-07 00:00:00.000,221,,Vehicle spare parts - Part Pay 1,Paid,
50,INV_PO012.1,2022-08-07 00:00:00.000,255,,Vehicle spare parts - Part Pay 1,Paid,
51,INV_PO006.4,2022-06-17 00:00:00.000,239,50200,Fourth delivery,Paid,
52,INV_PO012.1,2022-08-07 00:00:00.000,256,37800,Vehicle spare parts - Part Pay 1,Paid,
53,INV_PO012.2,2022-09-04 00:00:00.000,140,,Vehicle spare parts - Part Pay 2,Paid,
54,INV_PO012.3,2022-09-29 00:00:00.000,206,28000,Vehicle spare parts - Part Pay 3,Paid,
55,INV_PO012.3,2022-09-29 00:00:00.000,256,28000,Vehicle spare parts - Part Pay 3,Paid,
56,INV_PO012.2,2022-09-04 00:00:00.000,175,,Vehicle spare parts - Part Pay 2,Paid,
57,INV_PO012.3,2022-09-29 00:00:00.000,241,43750,Vehicle spare parts - Part Pay 3,Paid,
58,,,228,,,,
59,INV_PO007.1,2022-07-30 00:00:00.000,142,3700,Trip for Mikaen,Paid,
60,INV_PO006.2,2022-04-18 00:00:00.000,138,4300,Second delivery,Paid,
61,INV_PO014.1,2022-10-03 00:00:00.000,208,,Invoice payment SN#001,Paid,
62,INV_PO014.2,2022-10-15 00:00:00.000,262,13250,Invoice payment SN#002,Paid,
63,INV_PO014.2,2022-10-15 00:00:00.000,196,,Invoice payment SN#002,Paid,
64,INV_PO014.2,2022-10-15 00:00:00.000,198,,Invoice payment SN#002,Paid,
65,INV_PO014.3,2022-10-27 00:00:00.000,231,,Invoice payment SN#003,Paid,
66,INV_PO014.1,2022-10-03 00:00:00.000,263,17300,Invoice payment SN#001,Paid,
67,INV_PO014.1,2022-10-03 00:00:00.000,196,4275,Invoice payment SN#001,Paid,
68,INV_PO014.3,2022-10-27 00:00:00.000,198,900,Invoice payment SN#003,Pending,Pointers not compatible with system
69,INV_PO014.3,2022-10-27 00:00:00.000,211,900,Invoice payment SN#003,Pending,Pointers not compatible with system
70,INV_PO014.4,2022-11-05 00:00:00.000,146,,Invoice payment SN#004,Paid,
71,INV_PO014.4,2022-11-05 00:00:00.000,197,,Invoice payment SN#004,Paid,
72,INV_PO014.4,2022-11-05 00:00:00.000,146,11900,Invoice payment SN#004,Paid,
73,INV_PO014.4,2022-11-05 00:00:00.000,260,11900,Invoice payment SN#004,Paid,
74,INV_PO014.4,2022-11-05 00:00:00.000,261,11900,Invoice payment SN#004,Paid,
75,INV_PO014.1,2022-10-03 00:00:00.000,166,7920,Invoice payment SN#001,Paid,
76,INV_PO014.1,2022-10-03 00:00:00.000,245,7920,Invoice payment SN#001,Paid,
77,INV_PO014.2,2022-10-15 00:00:00.000,166,3550,Invoice payment SN#002,Pending,
78,INV_PO014.2,2022-10-15 00:00:00.000,233,3550,Invoice payment SN#002,Pending,
79,INV_PO014.3,2022-10-27 00:00:00.000,148,12125,Invoice payment SN#003,Paid,
80,INV_PO014.3,2022-10-27 00:00:00.000,212,12125,Invoice payment SN#003,Paid,
81,INV_PO014.3,2022-10-27 00:00:00.000,247,12125,Invoice payment SN#003,Paid,
82,INV_PO014.1,2022-10-03 00:00:00.000,148,72500,Invoice payment SN#001,Pending,
83,,,234,,,,
84,INV_PO003.1,2022-03-22 00:00:00.000,185,,Purchase of screens.,Paid,
